Sun Aug 08 23:07:50 2021    output.dat

         5506646 function calls (5503771 primitive calls) in 17.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3947    6.187    0.002   13.219    0.003 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:277(initiate)
   508258    1.319    0.000    1.319    0.000 {numpy.array}
     1001    1.142    0.001    1.166    0.001 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:618(Nearest)
    45610    0.955    0.000    1.254    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:170(agt_ellipD)
   261925    0.664    0.000    0.664    0.000 {numpy.concatenate}
    22809    0.589    0.000    0.767    0.000 {method 'dot' of 'numpy.ndarray' objects}
    22805    0.416    0.000    1.240    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\dynamics.py:370(add_control)
   206122    0.397    0.000    0.860    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:83(atleast_2d)
     2002    0.371    0.000    1.093    0.001 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:658(Near)
    22805    0.369    0.000    2.691    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\agent.py:159(step)
    22805    0.326    0.000    1.813    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\dynamics.py:386(step)
   103061    0.276    0.000    1.604    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:229(vstack)
   160370    0.267    0.000    0.441    0.000 C:\Python27\lib\abc.py:128(__instancecheck__)
   431545    0.240    0.000    1.046    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:541(asanyarray)
     7899    0.235    0.000    0.556    0.000 C:\Python27\lib\site-packages\numpy\core\function_base.py:37(linspace)
